"","id","member_id","loan_amnt","funded_amnt","term_mnths","int_per","installment","grade","sub_grade","emp_title","emp_yrs","home_ownership","annual_inc","verification_status","issue_d","loan_status","desc","purpose","title","addr_state","dti","open_acc","revol_bal","revol_util_per","total_acc","total_pymnt","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","last_payment_due","issue_date","lpd_yr","iss_yr","paid_mths","unpaid_mths","future_value","credit_loss"
"29044",528195,683131,14000,11525,36,7.88,361,"A","A5","portland community college","<1","rent",30548,"source verified","Jun-10","Charged Off","  Borrower added on 06/15/10 > Hello potential investors and thank you for your interest in helping me get debt free in 3 years.  <br/><br/>I seek this loan to pay off my only three outstanding debts and to save money in the process.  This loan will allow me to make fixed payments, save on interest and have a lower monthly payment than I would be able to make without it.<br/><br/>I am a good risk to invest in, am very responsible, motivated and driven to succeed.  My focus and goals are in eliminating my debt so I can invest more in my future.<br/><br/>Thank you for your interest in investing in me.<br/><br/>~Debt Fee in Three<br/>","debt_consolidation","debt free in three","OR",18.38,9,19777,64.7,32,6071,4783,978,0,310,3,"Oct-11",361,2011-10-01,2010-06-01,"2011","2010",16,20,9217,9550
"29048",526784,681457,11200,11200,36,13.23,379,"C","C1","mary washington healthcare","7","rent",34800,"not verified","Jun-10","Charged Off","  Borrower added on 06/13/10 > I'm a single mother of a wonderful 13 year old boy. I have a great job with Mary Washington Healthcare as a Medical Coder/Biller. I've been employed with the organization for a little over 7 years. I am a responsable person who can't seem to get out of credit card debt. The intrest rates are increasing. <br/> <br/>With this loan I will pay off the credit cards and purchase bedroom furniture for my son. I will then be able to save to buy my own house.<br/>","debt_consolidation","my debt solution","VA",7.07,10,7579,41.2,22,12872,10435,2413,0,24,0,"May-13",379,2013-05-01,2010-06-01,"2013","2010",35,1,765,749
"29049",521462,674338,1750,1750,36,13.61,59,"C","C2","maple shade mazada","3","mortgage",38400,"not verified","Jun-10","Charged Off","","major_purchase","major purchase","NJ",16.34,4,434,43.4,15,1515,1133,347,0,35,0,"Jul-12",59,2012-07-01,2010-06-01,"2012","2010",25,11,617,625
"29061",524166,678227,16000,16000,60,18.3,409,"F","F1","usps","4","rent",48000,"verified","Jun-10","Charged Off","  Borrower added on 06/08/10 > i got in over my head as far as my credit cards are and i can pay them now im just barely getting by. i have 3 children and they cost alot with geting this loan i can pay everything off and the payment will leave me with extra money at the end of the month. thank you or your help<br/>","debt_consolidation","bills ","MD",10.72,7,2823,72.4,18,9406,4262,4712,0,432,4,"Apr-12",409,2012-04-01,2010-06-01,"2012","2010",22,38,11738,15110
"29065",527868,682755,8400,8400,60,13.23,192,"C","C1","noell desiree jewelry, llc","2","rent",45000,"not verified","Jun-10","Charged Off","  Borrower added on 06/08/10 > Using the loan funds to upgrade my tennis teaching and training certifications this summer to be eligible for a high salary and full-time director of tennis job at a private club. I have a stable part-time job as an outside sales associate for a local jewelry company, and also teach some private tennis lessons as well. I have excellent credit, have NEVER failed to make any credit card payments in the past, and do not currently have any large debts/other financial obligations.<br/> Borrower added on 06/15/10 > Should be able to pay off loan quickly following master of tennis certification.<br/> Borrower added on 06/19/10 > Certification costs me a little under $10 K personally because it is for the new US Master of Tennis Certificate that will allow me to take a top executive position of important tennis influence and over $120 K per year in salary. I was accepted to the top certification program in the country (not cheap but definitely worth it career-wise), and will be there throughout the entire month July so that I will be able to begin a job offer as a Master of Tennis Executive starting in late-August. This master certification is required and the final thing that I need before I can begin a new full-time executive position. I already have every other PTR and PTA certification, but this is for the new US Master of Tennis Certificate which will give me the highest certification in the industry!<br/> Borrower added on 06/20/10 > Have superb credit, have always fulfilled all payment obligations 100% on time throughout my long and spotless credit history, and am an excellent borrower! Will always fulfill monthly loan payments and full loan obligation under the selected term.<br/>","educational","tennis teaching & training","FL",10.67,9,3189,72.5,11,1774,719,711,0,345,3,"May-11",88,2011-05-01,2010-06-01,"2011","2010",11,49,7681,9651
"29086",526193,680745,8500,8500,60,11.49,187,"B","B4","tib bank","4","mortgage",27000,"not verified","Jun-10","Charged Off","  Borrower added on 06/08/10 > 1. Who is your employer and what is your position/responsibilities? <br/><br/>I work for a Bank. I have a clerical job. I have worked there almost 5 years. <br/>2. What are your other $ monthly costs (mortgage, car, utilities, insurance, phone, internet, food, gym, childcare costs as applicable)?  <br/>I have a mortgage $770 per month (My Fiancee pays this)<br/>Car insurance $87<br/>Phone bill $50/mo<br/>Electric $90-$150/mo<br/>I have 2 credit cards with small balances $25/month for both combined.<br/><br/>3. Would you please list the details of each loan: who you owe, current balance, interest rate, monthly amount paid? <br/>Mortgage- Bank Of America $116,000.00, Interest is 5.00% Monthly payment is $770.00 principal in interest with taxes and insurance it's around $1,000. My Fiancee' pays principal, Interest, taxes, and insurance every month.<br/><br/>4. Explanations for any past delinquencies/public records (if any). <br/>No delinquencies EVER! <br/><br/>5. Can you list any investments and balances? <br/>Mutual fund Charles Schwab- unsure<br/>401k      $2,000<br/><br/><br/>6. Are you the sole wage earner in your household or is there another? If there is another, what is your combined income? <br/><br/>I am not, between the two of us we make around $70,000.00 Yearly. \<br/>7. Can you list your savings account balance(s) and/or any other kind of emergency funds? Will you have the LC (lending club) loan automatically withdrawn from your account? <br/>Savings $ 6,000<br/>I will be paying through auto withdrawal<br/><br/><br/>I have no debt to speak of. And I have excellent past history of paying anything and everything on time.  I welcome any questions and thanks in advance!<br/>","home_improvement","kitchen remodel! ","FL",0.89,12,449,2,22,4631,2679,1618,0,333,3,"Jun-12",34,2012-06-01,2010-06-01,"2012","2010",24,36,5821,6579
"29089",527447,682252,7000,7000,60,16.45,172,"E","E1","bank of america","2","rent",26004,"verified","Jun-10","Charged Off","","other","personal loan","NY",1.94,5,1127,59.3,7,1883,891,992,0,0,0,"May-11",172,2011-05-01,2010-06-01,"2011","2010",11,49,6109,8428
"29091",527442,682242,8000,8000,36,7.14,248,"A","A3","24 hr. fitness","9","mortgage",54000,"not verified","Jun-10","Charged Off","","debt_consolidation","get out of debt","CA",9.07,10,16310,66.7,19,8094,7169,910,15,0,0,"May-13",36,2013-05-01,2010-06-01,"2013","2010",35,1,831,836
"29094",527312,682100,8400,8400,36,14.84,291,"D","D1","wheelock street capital","3","rent",130000,"verified","Jun-10","Charged Off","  Borrower added on 06/07/10 > This loan is being requested for debt consolidation purposes.<br/> Borrower added on 06/08/10 > Once fully funded I will pay my current debt with a goal of repaying this loan within 1.5 years.<br/>","debt_consolidation","ysm loan","CT",8.28,8,5476,66,30,8254,3547,1682,0,3025,756,"Mar-12",291,2012-03-01,2010-06-01,"2012","2010",21,15,4853,2315
"29098",527207,681962,5600,5600,60,15.21,134,"D","D2","computershare llc","2","rent",40000,"verified","Jun-10","Charged Off","  Borrower added on 06/07/10 > This loan is to help me get an aptment and to pay a few personal bills. Doctor bills, car windsheild replacement ect.<br/> Borrower added on 06/08/10 > I am very responsible whern it comes to paying bills.  I never pay my bills late. I have been in good standing with all recent accounts for the past serveral years..<br/> Borrower added on 06/10/10 > I work for a large global company that creates and supports custom stock option software. The software offers the ability to trade live on the market. Computershare has offices in Connecticut, Australia, Canada, Massachusetts and New Jersey. Our clients are companies that purchase and utilize the software to track their employees stock options. My position is an application support specialist. My team has approximately 10 reps and we are trained on the products so that we can provide the best service possible to the clients.  The company continues to upgrade and build new versions of the software. Its a product that is in high demand and the leadership behind the company I work for is extremely knowledgeable and aggressive and are dedicated to growing and striving to be the best in the industry.<br/>","other","clear up bills","CT",10.32,4,568,2.4,5,383,63,71,0,249,2,"Aug-10",134,2010-08-01,2010-06-01,"2010","2010",2,58,5537,7581
"29099",527237,682006,10000,10000,36,14.35,343,"C","C4","creative financial strategies","1","mortgage",62000,"not verified","Jun-10","Charged Off","  Borrower added on 06/14/10 > Thank you to all of my investors and future investors.  I really like this concept of peer to peer lending.<br/>","debt_consolidation","debt consolidation for a hard worker","SC",20.63,8,40519,89.3,30,5132,2355,1068,17,1692,531,"Apr-11",343,2011-04-01,2010-06-01,"2011","2010",10,26,7645,7252
"29104",527190,681940,6000,6000,36,15.58,210,"D","D3","u s senate","9","mortgage",65827,"not verified","Jun-10","Charged Off","","debt_consolidation","bill pay off","MD",9.24,4,312,44.6,8,1884,1248,636,0,0,0,"Mar-11",210,2011-03-01,2010-06-01,"2011","2010",9,27,4752,5670
"29109",527104,681822,2400,2400,60,16.32,59,"D","D5","stenocall","3","rent",20800,"not verified","Jun-10","Charged Off","","other","bills","TX",10.44,3,0,0,5,484,216,253,15,0,0,"Feb-11",59,2011-02-01,2010-06-01,"2011","2010",8,52,2184,3068
"29116",526995,681695,9600,9600,60,16.82,238,"E","E2","hollywood transport","2","rent",54000,"source verified","Jun-10","Charged Off","  Borrower added on 06/06/10 > This loan will get my credit cards paid off at a better rate. I have a excellent payment history no late payments in the last five years.<br/>","debt_consolidation","help me help get out of debt","MD",14.49,6,10378,85.1,14,898,206,266,0,426,4,"Aug-10",238,2010-08-01,2010-06-01,"2010","2010",2,58,9394,13378
"29118",526993,681693,5600,5600,36,11.12,184,"B","B3","us army","10+","rent",72000,"source verified","Jun-10","Charged Off","","moving","housing","GA",19.85,11,17911,73.7,16,2752,1655,536,0,560,103,"Jun-11",184,2011-06-01,2010-06-01,"2011","2010",12,24,3945,3856
"29132",526701,681269,6000,6000,36,11.86,199,"B","B5","razorfish","4","rent",81000,"source verified","Jun-10","Charged Off","  Borrower added on 06/05/10 > After 10 years with roommates, it's time for the dog and I to have our own place in Chicago. Half the funds will be used for the upfront costs needed to secure a new apartment lease (security deposit, first month's rent, dog deposit, building move-in fee, application fee). The other half will be used for the actual moving expenses, and some new furniture and appliances.<br/><br/>As a Project Manager for a major digital advertising agency, part of my job is managing project scope and budgets. This certainly carries over to my personal life and finances, where I make sure to keep all my accounts current, and pay all my bills on time each month. I've been at the same company for nearly 4 years, and things are going very well... I'm not going anywhere. I think these factors reflect positively on my stability, and on being a great candidate for borrowing.<br/><br/>Please let me know if there are any questions, and thanks in advance for your support. Oh, and the dog thanks you too!<br/>","moving","new chicago apartment for the dog and i!","IL",17.44,10,18494,84.4,18,4574,3553,987,15,20,0,"Jun-12",199,2012-06-01,2010-06-01,"2012","2010",24,12,2447,2584
"29156",526248,680806,14000,14000,60,16.82,347,"E","E2","soundbite communications","4","mortgage",80000,"not verified","Jun-10","Charged Off","  Borrower added on 06/06/10 > This is for a vinyl siding project<br/>","home_improvement","house repairs","MA",14.05,12,24955,94.6,20,11611,5821,5321,0,468,5,"Apr-13",347,2013-04-01,2010-06-01,"2013","2010",34,26,8179,9360
"29168",526111,680659,18000,11750,60,11.12,256,"B","B3","missing","1","mortgage",73000,"source verified","Jun-10","Charged Off","  Borrower added on 06/04/10 > Hi, I am seeking to raise $18,000 to renovate my kitchen and a bathroom... and at the same time establish a LendingClub borrowing history. I anticipate paying back this loan in full within 1 year. <br/><br/>Thank you for your support <br/><br/><br/>My financial standing and credit history:<br/><br/><br/>I have never been late in paying any of my debts over the past 23 years, and our current household income can easily accommodate the monthly payments on this loan. <br/>Monthly household net income: $ 11,500<br/><br/>Monthly expenses: $ <br/>  Mortgage: $1500 <br/>  Insurance: $120 <br/>  Car expenses: $0 (all 3 cars are paid in full) <br/>  Utilities: $150 <br/>  Phone, cable, internet: $120 <br/>  Food, entertainment: $300 <br/>  Clothing, household expenses $200 <br/>  Credit cards and other loans: $ 1564 (total revolving credit balance) <br/>  Other expenses: $$450 (kid's tuition starting again in the fall)<br/>","home_improvement","home improvement project","CA",1.33,10,1467,2.2,25,1534,903,631,0,0,0,"Dec-10",256,2010-12-01,2010-06-01,"2010","2010",6,54,17097,21816
"29174",461680,577136,3600,3600,60,7.88,73,"A","A5","select staffing","2","rent",30000,"not verified","Jun-10","Charged Off","","credit_card","credit refinance","DE",21.08,7,1462,30.5,20,3203,2488,702,0,13,0,"Feb-14",73,2014-02-01,2010-06-01,"2014","2010",44,16,1112,1155
"29176",525961,680485,14500,14500,36,15.95,509,"D","D4","at&t","10+","mortgage",89000,"source verified","Jun-10","Charged Off","  Borrower added on 06/04/10 > This would be a debt consolidation allowing me to get out of the trap of the credit companies out there and allow me freedom to pay cash for the things I need or want instead of using credit cards with high interest rates.<br/> Borrower added on 06/05/10 > My salary is more than adequate to support the monthly payment for my 3 year note. Actually this loan will almost cut the payments that I have been making by half, thus saving me each month. I have been at the same job for 17 1/2 years.<br/>My payments will be automatically deducted from established checking account that I have had for 10+ years.<br/>Please feel free to ask me any questions!<br/> Borrower added on 06/10/10 > Many would worry about the choice of 36 month term. The payment for this would reduce my monthly bills on revolving credit in half as well as see me getting debt free in a matter of 36 months at most. My daughter had a benign tumor removed from her spine last year. She is doing fine now but as many know it can be expensive. A great deal of the credit card debt incurred was during this time and making good on those obligations. I have yet to be late on anything and do not anticipate being late in the future. I can make the payments as they are but I know that for my future and my children's future this would be the best thing for me. I appreciate all that believe in me and have already invested and invite others to do so as well. I am an investment worth making.<br/>","debt_consolidation","john's debt consolidation loan","TX",23.87,16,15665,89.5,36,5603,3711,1872,0,19,7,"May-11",509,2011-05-01,2010-06-01,"2011","2010",11,25,10789,12731
"29192",525686,680144,8400,8400,60,17.93,213,"E","E5","good samaritan village ","10+","mortgage",20000,"source verified","Jun-10","Charged Off","  Borrower added on 06/07/10 > This loan is to pay for auto repairs on 2 vehicals and new flooring in my house.<br/>","major_purchase","car finisher","MN",4.2,6,2239,48.7,9,3715,1564,1835,0,317,3,"Oct-11",213,2011-10-01,2010-06-01,"2011","2010",16,44,6836,9055
"29195",521784,674813,25000,15425,60,13.61,356,"C","C2","flex-n-gate","2","rent",60000,"verified","Jun-10","Charged Off","","credit_card","debt consolidation loan ","AL",22.34,5,22951,42.5,36,15443,9352,5235,0,856,9,"Dec-13",35,2013-12-01,2010-06-01,"2013","2010",42,18,15648,16532
"29210",525314,679699,15000,15000,60,19.41,393,"F","F4","liberty mutual insurance","10+","mortgage",70000,"verified","Jun-10","Charged Off","  Borrower added on 06/03/10 > Paying off credit card debt.  I have a great history of paying off both secured and unsecured fixed amount loans.  I work better with a monthly fixed amount vs. fluctuating credit card minimums, etc.<br/>","debt_consolidation"," debt consolidation loan","OR",16.3,8,12141,94.3,14,7850,3493,4356,0,0,0,"Mar-12",31,2012-03-01,2010-06-01,"2012","2010",21,39,11507,15600
"29227",525119,679447,2000,2000,36,14.84,69,"D","D1","yard house","<1","rent",45000,"not verified","Jun-10","Charged Off","  Borrower added on 06/02/10 > consolidation loan<br/> Borrower added on 06/03/10 > my loan is consolidate my credit card debt of around $1500.<br/>","other","andre","CO",10.61,5,881,88.1,8,2123,1597,473,30,23,0,"Dec-12",69,2012-12-01,2010-06-01,"2012","2010",30,6,403,397
"29228",525117,679443,4800,4800,60,11.86,106,"B","B5","american airlines","10+","rent",62000,"verified","Jun-10","Charged Off","  Borrower added on 06/04/10 > I own a dating website that has been available to the public since late 2007.  The funds will go to upgrade the site. Due to recent publicity from talk shows, Tyra Banks, MTV reality series, Dr. Phil, the site is growing at a rapid rate.  I now have more than 20,000 active members and that increases by several hundred each day.  The site has now outgrown the severs three times.  This will be the fourth and final server upgrade. <br/> <br/>At this time I am not charging a membership fee to most of the members who meet said criteria.  I would like to reach 50,000 active members before charging.   <br/> <br/>The specifics on what upgrades will be taking place are as follows:<br/> <br/>Upgrading from a VPS to a dedicated server, upgrading the entire site code from php4 to php5, add many new features, remove outdated or useless features, correct some incorrect coding, completely remove and reinstall cutting edge media software, incorporate skype, upgrade home page with live feed comparable to facebook, secure a second merchant account, upgrade video IM and chat rooms, new/more  advertising will be done as well.<br/><br/>Thank you.<br/> Borrower added on 06/06/10 > Each member has a visible ip locater when the new profile is presented for approval.  I personally verify that each new member is from a country that is listed on the site.  This is to prevent scammers and fraudulent profiles.  I also have a very strict spam software installed on the site to prevent dishonest members.  Integrity of the site is of the utmost importance.<br/>","small_business","website","CA",6.23,5,0,0,13,3859,2440,1266,0,154,2,"May-13",106,2013-05-01,2010-06-01,"2013","2010",35,25,2360,2521
"29233",525029,679338,4000,4000,60,11.12,87,"B","B3","alere home monitoring","1","rent",32656,"source verified","Jun-10","Charged Off","  Borrower added on 06/03/10 > This loan is for investment purposes.<br/> Borrower added on 06/04/10 > I plan to turn this small investment into a six figure trading portfolio in 5 years.<br/> Borrower added on 06/06/10 > If I succeed with this investment, I can retire early and free up a job in my community. (Orlando's unemployment rate is currently 12%) My belief is that self employment is job security and that is what this loan will help me accomplish.<br/>","major_purchase","a hand up","FL",16.35,15,3071,16.4,23,4093,2772,1136,0,186,2,"Mar-14",87,2014-03-01,2010-06-01,"2014","2010",45,15,1228,1134
"29237",524545,678704,1500,1500,36,16.82,53,"E","E2","foi","8","rent",39996,"not verified","Jun-10","Charged Off","","debt_consolidation","debt con","FL",13.05,2,0,NA,5,637,380,204,0,53,1,"May-11",53,2011-05-01,2010-06-01,"2011","2010",11,25,1120,1272
"29238",524955,679252,10000,6800,60,13.98,158,"C","C3","txu/cc concepts","<1","rent",54000,"not verified","Jun-10","Charged Off","  Borrower added on 06/02/10 > I am moving from Tucson to Dallas this weekend and as it is a good cross country trek, I would like to be able to have some money to pay for gas and the apartment complex is asking for 2 weeks payment up front and with my new job with TXU/CCConcepts, I have a have a very reliable car. I have found a great car that is ready to be taken up by me and all I need is the loan to get it to go through! Thanks so much!<br/>","other","moving and car financing","AZ",23.15,7,19677,38.3,9,790,403,386,0,0,0,"Nov-10",158,2010-11-01,2010-06-01,"2010","2010",5,55,9597,13035
"29260",524680,678872,15000,15000,60,15.58,361,"D","D3","franklin county","9","mortgage",46000,"source verified","Jun-10","Charged Off","  Borrower added on 06/02/10 > I am looking to lower my debt in a timely manner and have a lower interest rate.<br/> Borrower added on 06/03/10 > I pay all monthly obligations on time every time, I believe after I consolidate my debt my credit will continue to reach the top. <br/><br/> I plan to pay off all existing credit cards as well as upgrade my electric box. I am trying to consolidate in order to be competely debt free in 4-5 years. I went for the longer term in order to free up a little extra money for my daughters cheerleading.<br/><br/>My place of employment is stable as well as my job. I have no intentions of seeking employment else where as I want to retire from the PERS system.<br/> Borrower added on 06/05/10 > I would like to thank all of my current and future investors for investing in me and my loan. I can't wait to get this consolidation and get rid of my debt in 4-5 years...<br/> Borrower added on 06/06/10 > Hmm..things aren't progressing as well as I would like..Investors do you have any questions or suggestions as to how I can help your decision to invest in my loan?<br/> Borrower added on 06/09/10 > Thanks to all of my investors...I really need to be at 98% or I may not be able to accept this loan...Please consider helping me...I don't consider myself high risk...as my life is stable..<br/>","debt_consolidation","angela debt consolidation","OH",21.47,13,11906,74,21,5775,2939,2836,0,0,0,"Oct-11",361,2011-10-01,2010-06-01,"2011","2010",16,44,12061,15928
"29267",524447,678554,24000,24000,60,19.04,623,"F","F3","defense  and  confirmation project","3","rent",60204,"not verified","Jun-10","Charged Off","  Borrower added on 06/02/10 > I have a very good and exiting job. People at the office like my performance in what I do. Though my job is excellent with a good pay, I've been carrying a debt from some years due to medical bills and school. I've been able to pay all my bills on time, but at the end of the month things get very tight. I don't want to live pay check to pay check. With this loan I will pay off three credit cards which carry the main load of the load of my debt.<br/>","debt_consolidation","freedom","CA",18.68,5,8376,95.2,16,24612,12720,11893,0,0,0,"Dec-13",312,2013-12-01,2010-06-01,"2013","2010",42,18,11280,13050
"29271",524485,678596,14000,8175,60,15.95,199,"D","D4","monroe county schools","1","mortgage",70000,"not verified","Jun-10","Charged Off","  Borrower added on 06/03/10 > I will be using the funds to get training that I need to start my own education consulting company.  I have been an educator for 8 years, previously as a teacher and a head basketball coach.  My current position is an assistant prinicpal at a high school.  My annual salary is $70,000/year and this will increase by $7,000 at the start of next  school year due to me completing a specialist degree over the summer.  I will pay the loan off in 1 year with money made as an assistant prinicpal or a combination of money made as an assistant principal and money made from my consulting business.  If you have any questions, please feel free to ask me.  Thanks in advance for funding my loan.<br/> Borrower added on 06/04/10 > This loan is very important to me,  Please help me to get this loan because I need it.  Thanks to those who have already invested, you are really helping me reach my dream and my purpose in life.<br/> Borrower added on 06/09/10 > Thanks for everyone who has invested in funding my loan.  I sincerely appreciate it.  I guarantee the loan will be paid back in full.  I make enough money on a monthly basis to pay it off in timely manner.<br/>","educational","exponential","GA",12.1,14,1702,10.4,35,7225,3629,3336,0,260,3,"Sep-13",198,2013-09-01,2010-06-01,"2013","2010",39,21,10371,11689
"29276",524380,678473,1500,1500,60,17.56,38,"E","E4","first investors corporation","<1","rent",42000,"not verified","Jun-10","Charged Off","","educational","training and certify","TX",3.17,3,4949,56.6,4,2030,1246,745,0,38,7,"Nov-14",38,2014-11-01,2010-06-01,"2014","2010",53,7,254,228
"29282",524215,678284,10000,10000,60,17.93,254,"E","E5","service link","1","mortgage",99000,"not verified","Jun-10","Charged Off","  Borrower added on 06/01/10 > Money for tuition for my two kids to attend a catholic high school and a catholic grade school.  I will have no porblem paying the monthly amount over 5 the 5 year time period.  Plan to also use the remaining balance to pay off the reaminder of a $2000 Lowes bill for New Kitchen appliances.<br/> Borrower added on 06/02/10 > Need the money ASAP as tuition is due on the 15th of June.<br/>","other","tuition","PA",4.07,12,4621,35,30,6722,768,5274,0,681,33,"Nov-13",151,2013-11-01,2010-06-01,"2013","2010",41,19,9232,9997
"29284",524201,678265,1400,1400,36,11.86,46,"B","B5","ihss","<1","rent",4080,"not verified","Jun-10","Charged Off","  Borrower added on 06/02/10 > just for two credit cards with 531 balence and 700 balence thanks to everyone<br/>","debt_consolidation","roses loan","CA",13.24,8,1500,22.1,8,1093,831,229,0,32,0,"May-12",46,2012-05-01,2010-06-01,"2012","2010",23,13,569,579
"29286",524194,678257,15000,15000,36,15.95,527,"D","D4","missing","na","rent",36144,"verified","Jun-10","Charged Off","  Borrower added on 06/01/10 > RETIRED, VETERAN, LOOKING TO CONSOLIDATE, DEBTS,<br/>ACCRUED, AND BECOME MORE COMFORTABLE, IN MY APPROACH, TO FINANCIAL MATTER'S.<br/>AT MY AGE, I'D LIKE TO GET A BETTER CREDIT SCORE, TO LOWER MY INTEREST RATES, AND MOVE FORWARD, SLOWLY,<br/>IN PURCHASING A HOME, FOR ME.<br/> Borrower added on 06/01/10 > ALL IN ALL, THINGS ARE DONE-- WITH A ""HANDS ON"" <br/>APPROACH BY ME.--.I'M NOT BUSINESS SAVY,<br/>BUT I'VE NEVER MISSED A PAYMENT--NOR BEEN LATE, <br/>I BUDGET, AND  DO VOLUNTEER WORK,<br/>I'M LITERATE, FUNCTIONAL, GOAL-ORIENTED,<br/>AND ALWAY'S STAY MOTIVATED AND  FOCUSED. I'M <br/>DIAGNOSED WITH POST TRAUMATIC STRESS DISORDER,<br/>BY THE VETERANS ADMINISTRATION,<br/>FROM MY MILITARY SERVICE IN VIETNAM---<br/>I LIVE SMART, AND QUIETLY.<br/> Borrower added on 06/02/10 > WHAT I UNDERSTAND-IS THAT EVERYTHING--IS A ""PROCESS"" !<br/>IT'S A PROCESS,-- ACCUMULATING POSSESSIONS-AND DEBT<br/>AND IT'S A PROCESS, PAYING DEBIT OFF.<br/>SLOW--BUT SURE.<br/> Borrower added on 06/02/10 > JUST A MAN, LOOKING FOR A HAND-UP,--NOT HAND-OUT.<br/> Borrower added on 06/10/10 > AS I DAILY--COUNT MY BLESSINGS--IT'S WITH HEARTFELT,<br/>GRATITUDE--TO MY INVESTORS--<br/>FOR YOUR FAITH, IN ME. .<br/>","debt_consolidation","new dayz","CA",13.68,3,6645,94.9,12,8336,5376,2527,0,433,5,"Oct-11",34,2011-10-01,2010-06-01,"2011","2010",16,20,9624,10587
"29293",514605,665211,5000,5000,36,11.86,166,"B","B5","cook medical inc","2","mortgage",70000,"not verified","Jun-10","Charged Off","","debt_consolidation","smoothie spot","TX",14.76,3,0,0,17,5488,4504,955,0,28,1,"Mar-13",166,2013-03-01,2010-06-01,"2013","2010",33,3,496,479
"29294",524114,678164,18000,12025,60,15.21,287,"D","D2","spacenet inc.","9","mortgage",90000,"not verified","Jun-10","Charged Off","  Borrower added on 06/06/10 > This loan is to consolidate my current credit cards.  I previously had a loan with lending club, and paid it off last month.  This make me a very good candidate.  I just want to get all my bills back into one payment, so that I can concentrate on paying it off.<br/>","debt_consolidation","debt consolidation","GA",11.55,10,6937,19.4,23,6610,3569,3024,0,17,0,"May-12",287,2012-05-01,2010-06-01,"2012","2010",23,37,14431,18150
"29297",524059,678092,15000,15000,60,13.98,349,"C","C3","first church of god","10+","rent",43920,"not verified","Jun-10","Charged Off","  Borrower added on 06/01/10 > I plan to use the money from this loan to pay of all my credit cards and to finish paying for my wedding which is this summer.  I would be a good borrower because I always pay my bills on time. I have a very stable job that I have been at for over 10 years and plan on staying until I get old.  I would just like to have one payment and a lessor interest rate.<br/>","debt_consolidation","kim's loan","OK",8.2,10,8840,76.9,29,10814,6448,4353,0,13,0,"Jan-13",349,2013-01-01,2010-06-01,"2013","2010",31,29,8552,10108
"29304",523986,677993,8000,8000,60,13.98,186,"C","C3","western riverside council of governments","4","rent",33600,"not verified","Jun-10","Charged Off","  Borrower added on 05/31/10 > Credit Card debt pay off and purchase of a complete bedroom set<br/>","major_purchase","summer 2010","CA",9.25,9,5964,56.3,10,4117,2190,1709,15,202,2,"Mar-12",186,2012-03-01,2010-06-01,"2012","2010",21,39,5810,7052
"29306",523932,677920,16750,16750,36,10.38,543,"B","B1","bioscrip","8","mortgage",60996,"not verified","Jun-10","Charged Off","  Borrower added on 06/04/10 > This loan is solely for debt consildation since we recently had bought a house and have a little baby.  We can have just one single payment vs multiple little payments.  Hopefully, when we pay this off we have a better savings account and deposit some money for our baby's college fund.<br/>","debt_consolidation","debt consildation","NJ",13.36,12,33498,60.3,41,2172,1614,558,0,0,0,"Oct-10",543,2010-10-01,2010-06-01,"2010","2010",4,32,15136,17408
"29307",523926,677910,1600,1600,36,7.88,50,"A","A5","hibbett sports","<1","rent",35000,"not verified","Jun-10","Charged Off","  Borrower added on 06/01/10 > Just moved into an apartment and need to catch up on bills while studying for the fire dept exam<br/>","moving","apartment bills","GA",19.82,8,2449,12.5,13,361,241,59,0,62,1,"Dec-10",50,2010-12-01,2010-06-01,"2010","2010",6,30,1359,1438
"29313",523776,677733,10000,10000,60,11.49,220,"B","B4","jamba juice","3","rent",103000,"verified","Jun-10","Charged Off","","car","pickup truck","CA",17.09,13,34258,68.3,25,12181,8670,3125,0,385,55,"Dec-14",220,2014-12-01,2010-06-01,"2014","2010",54,6,1330,989
"29324",523291,677016,6000,6000,60,11.86,133,"B","B5","butler toyota","<1","mortgage",65000,"source verified","Jun-10","Charged Off","","debt_consolidation","consoliation loan","GA",3.9,7,4597,18.9,33,927,529,398,0,0,0,"Jan-11",133,2011-01-01,2010-06-01,"2011","2010",7,53,5471,7049
"29327",522576,675949,10000,10000,60,13.98,233,"C","C3","mission community bank","3","rent",45000,"not verified","Jun-10","Charged Off","","debt_consolidation","consolidating credit card debt","CA",5.97,3,530,16.1,17,3318,1351,1202,0,765,264,"May-11",233,2011-05-01,2010-06-01,"2011","2010",11,49,8649,10652
